CITYNAME,TOWNNAME,TOTAL,MALE,FEMALE,TOWN
新北市,板橋區,554236,271178,283058,6500100
新北市,三重區,388447,191757,196690,6500200
新北市,中和區,414304,202275,212029,6500300
新北市,永和區,225409,107181,118228,6500400
新北市,新莊區,413243,202452,210791,6500500
新北市,新店區,300267,145134,155133,6500600
新北市,樹林區,184249,92082,92167,6500700
新北市,鶯歌區,87965,44144,43821,6500800
新北市,三峽區,112708,56701,56007,6500900
新北市,淡水區,162221,78033,84188,6501000
新北市,汐止區,196028,95902,100126,6501100
新北市,瑞芳區,40976,20708,20268,6501200
新北市,土城區,238703,118153,120550,6501300
新北市,蘆洲區,200095,98555,101540,6501400
新北市,五股區,82923,41842,41081,6501500
新北市,泰山區,78707,39152,39555,6501600
新北市,林口區,100350,49125,51225,6501700
新北市,深坑區,23594,11811,11783,6501800
新北市,石碇區,7855,4336,3519,6501900
新北市,坪林區,6490,3618,2872,6502000
新北市,三芝區,23487,12098,11389,6502100
新北市,石門區,12641,6550,6091,6502200
新北市,八里區,37678,18814,18864,6502300
新北市,平溪區,4874,2691,2183,6502400
新北市,雙溪區,9245,4995,4250,6502500
新北市,貢寮區,12860,6560,6300,6502600
新北市,金山區,22260,11024,11236,6502700
新北市,萬里區,22642,11412,11230,6502800
新北市,烏來區,6187,3072,3115,6502900
台北市,松山區,209714,98853,110861,6300100
台北市,信義區,229211,109806,119405,6300200
台北市,大安區,313058,146483,166575,6300300
台北市,中山區,231350,107979,123371,6300400
台北市,中正區,162475,77598,84877,6300500
台北市,大同區,130929,63996,66933,6300600
台北市,萬華區,194339,95916,98423,6300700
台北市,文山區,275367,132457,142910,6300800
台北市,南港區,122245,59710,62535,6300900
台北市,內湖區,287566,137719,149847,6301000
台北市,士林區,290694,140453,150241,6301100
台北市,北投區,257862,124492,133370,6301200
桃園市,桃園區,427145,208038,219107,6800100
桃園市,中壢區,389782,192765,197017,6800200
桃園市,大溪區,93343,47861,45482,6800300
桃園市,楊梅區,161098,81505,79593,6800400
桃園市,蘆竹區,155403,77458,77945,6800500
桃園市,大園區,85565,43953,41612,6800600
桃園市,龜山區,145580,73047,72533,6800700
桃園市,八德區,187420,94315,93105,6800800
桃園市,龍潭區,118433,59636,58797,6800900
桃園市,平鎮區,217887,108707,109180,6801000
桃園市,新屋區,48409,25884,22525,6801100
桃園市,觀音區,64785,33849,30936,6801200
桃園市,復興區,10930,5983,4947,6801300
台中市,中區,19020,9501,9519,6600100
台中市,東區,75182,37544,37638,6600200
台中市,南區,121786,58656,63130,6600300
台中市,西區,115693,55080,60613,6600400
台中市,北區,147547,70773,76774,6600500
台中市,西屯區,221785,106891,114894,6600600
台中市,南屯區,164575,78850,85725,6600700
台中市,北屯區,265159,127599,137560,6600800
台中市,豐原區,166749,82566,84183,6600900
台中市,東勢區,51308,26446,24862,6601000
台中市,大甲區,77714,39171,38543,6601100
台中市,清水區,86146,44291,41855,6601200
台中市,沙鹿區,89592,45399,44193,6601300
台中市,梧棲區,57108,28755,28353,6601400
台中市,后里區,54344,27633,26711,6601500
台中市,神岡區,65178,33338,31840,6601600
台中市,潭子區,106557,52838,53719,6601700
台中市,大雅區,93661,46816,46845,6601800
台中市,新社區,25086,13062,12024,6601900
台中市,石岡區,15295,7948,7347,6602000
台中市,外埔區,31899,16375,15524,6602100
台中市,大安區,19542,10318,9224,6602200
台中市,烏日區,72514,36517,35997,6602300
台中市,大肚區,56627,29011,27616,6602400
台中市,龍井區,76666,38812,37854,6602500
台中市,霧峰區,64657,32906,31751,6602600
台中市,太平區,183923,91503,92420,6602700
台中市,大里區,208406,102662,105744,6602800
台中市,和平區,10726,5753,4973,6602900
台南市,新營區,78165,38706,39459,6700100
台南市,鹽水區,26085,13628,12457,6700200
台南市,白河區,29271,15323,13948,6700300
台南市,柳營區,21629,11295,10334,6700400
台南市,後壁區,24329,12638,11691,6700500
台南市,東山區,21603,11482,10121,6700600
台南市,麻豆區,44987,22844,22143,6700700
台南市,下營區,24786,12768,12018,6700800
台南市,六甲區,22586,11673,10913,6700900
台南市,官田區,21685,11096,10589,6701000
台南市,大內區,10054,5393,4661,6701100
台南市,佳里區,59555,29542,30013,6701200
台南市,學甲區,26652,13645,13007,6701300
台南市,西港區,24921,12617,12304,6701400
台南市,七股區,23365,12128,11237,6701500
台南市,將軍區,20309,10343,9966,6701600
台南市,北門區,11527,5823,5704,6701700
台南市,新化區,43828,22366,21462,6701800
台南市,善化區,46933,23695,23238,6701900
台南市,新市區,35853,18018,17835,6702000
台南市,安定區,30331,15560,14771,6702100
台南市,山上區,7437,3889,3548,6702200
台南市,玉井區,14388,7472,6916,6702300
台南市,楠西區,10032,5318,4714,6702400
台南市,南化區,8893,4810,4083,6702500
台南市,左鎮區,5071,2841,2230,6702600
台南市,仁德區,73887,37590,36297,6702700
台南市,歸仁區,67906,34503,33403,6702800
台南市,關廟區,34719,17939,16780,6702900
台南市,龍崎區,4196,2271,1925,6703000
